Date,C,I
1947Q1,11.556,15.778
,11.648,16.444
,11.865,17.141
,12.161,17.793
,12.295,17.612
,12.423,17.687
,12.613,18.266
,12.574,18.751
,12.476,18.524
,12.4,17.948
,12.328,18.086
,12.316,18.021
,12.294,18.171
,12.352,18.36
,12.61,18.96
,12.836,19.634
,13.246,20.636
,13.354,21.043
,13.372,20.894
,13.549,20.909
,13.606,20.752
,13.602,20.464
,13.691,20.968
,13.714,20.761
,13.766,20.634
,13.786,20.667
,13.861,20.878
,13.922,20.676
,13.992,20.557
,13.973,20.506
,13.927,20.805
,13.912,21.001
,13.957,21.11
,13.971,21.055
,14.025,21.324
,14.063,21.994
,14.121,22.474
,14.216,22.281
,14.355,22.846
,14.439,22.73
,14.569,23.262
,14.662,23.34
,14.781,23.236
,14.858,22.54
,15.041,22.703
,15.069,22.591
,15.08,23.217
,15.074,23.771
,15.176,23.434
,15.238,23.368
,15.33,23.367
,15.414,23.42
,15.434,23.729
,15.515,23.623
,15.573,23.488
,15.642,23.23
,15.671,23.362
,15.669,23.428
,15.726,23.498
,15.742,23.628
,15.81,23.66
,15.866,23.515
,15.909,23.47
,15.957,23.391
,16.003,23.326
,16.029,23.413
,16.106,23.375
,16.166,23.664
,16.242,23.509
,16.277,23.604
,16.331,23.506
,16.384,23.771
,16.437,23.884
,16.52,23.917
,16.582,23.874
,16.632,24.171
,16.761,24.131
,16.898,24.375
,17.027,24.504
,17.159,24.814
,17.209,24.907
,17.29,24.88
,17.45,25.11
,17.6,25.409
,17.787,25.692
,17.968,25.826
,18.154,26.006
,18.355,26.565
,18.534,26.902
,18.77,27.114
,19,27.32
,19.22,27.737
,19.443,28.013
,19.659,28.508
,19.85,28.453
,20.107,28.812
,20.297,29.323
,20.528,29.693
,20.729,30.04
,20.857,30.314
,21.076,30.527
,21.198,30.762
,21.384,31.172
,21.559,31.859
,21.821,31.928
,22.241,32.294
,22.647,33.027
,23.112,33.884
,23.8,34.337
,24.474,35.635
,25.134,36.719
,25.77,37.888
,26.251,39.218
,26.571,40.251
,27.067,40.72
,27.521,41.264
,27.826,41.502
,28.06,42.237
,28.488,42.874
,28.938,43.767
,29.46,44.637
,29.963,45.048
,30.414,45.566
,30.846,47.66
,31.35,48.133
,31.994,48.917
,32.556,49.733
,33.172,50.917
,33.798,51.824
,34.723,53.201
,35.585,54.747
,36.448,55.966
,37.542,57.039
,38.462,58.375
,39.362,59.585
,40.337,60.714
,41.385,62.414
,42.079,64.11
,42.772,64.914
,43.426,66.365
,43.975,67.024
,44.397,67.68
,45.096,68.229
,45.592,68.493
,45.967,68.162
,46.387,67.96
,46.997,67.966
,47.309,68.23
,47.823,68.484
,48.288,68.677
,48.661,68.861
,48.962,69.174
,49.538,69.254
,49.94,69.538
,50.332,69.602
,50.683,70.18
,51.044,70.521
,50.991,71.09
,51.26,71.398
,51.57,71.716
,52.057,72.247
,52.559,72.49
,53.056,72.636
,53.514,73.433
,53.936,74.048
,54.532,74.39
,55.204,74.572
,55.762,75.068
,56.404,75.827
,57.165,76.229
,57.503,76.568
,57.957,77.089
,58.799,77.483
,59.333,77.757
,60.087,78.205
,60.882,78.425
,61.201,79.164
,61.534,79.334
,61.951,79.551
,62.4,79.366
,62.79,79.045
,63.207,79.213
,63.61,79.448
,64.054,79.64
,64.436,79.708
,64.869,80.031
,65.151,80.679
,65.527,80.658
,65.761,80.969
,66.128,81.237
,66.603,81.724
,66.916,81.995
,67.244,82.386
,67.635,82.638
,67.912,83.086
,68.21,83.056
,68.589,82.981
,69.048,82.859
,69.342,82.386
,69.815,82.819
,70.124,83.499
,70.3,82.175
,70.485,82.834
,70.707,82.604
,70.713,82.394
,70.84,82.106
,71.058,82.191
,71.245,82.302
,71.384,82.595
,71.789,82.343
,72.183,82.105
,72.622,82.479
,73.212,82.963
,73.562,83.348
,74.037,83.522
,74.457,83.641
,75.011,83.568
,75.363,83.509
,75.401,84.144
,75.431,84.227
,75.582,84.553
,76.142,84.095
,76.535,84.199
,76.892,84.688
,77.48,84.768
,77.557,84.743
,78.068,84.768
,78.451,85.46
,79.056,86.226
,79.587,87.107
,79.979,87.858
,80.662,88.733
,81.131,89.774
,81.644,90.606
,82.526,91.404
,83.184,92.577
,83.617,93.464
,84.352,93.988
,84.959,94.353
,84.818,94.932
,85.593,95.152
,86.319,95.48
,86.808,96.115
,87.691,95.658
,88.407,95.411
,89.269,96.167
,90.222,96.485
,88.781,98.674
,88.181,97.19
,88.531,95.443
,89.141,94.584
,89.828,93.902
,90.175,93.737
,90.314,93.897
,90.488,93.574
,91.068,93.922
,91.833,94.316
,92.737,94.365
,93.166,94.992
,93.474,95.074
,94.093,95.378
,94.32,95.795
,94.594,95.806
,95.124,96.414
,95.458,96.522
,95.506,96.453
,95.899,96.444
,96.252,96.911
,96.694,97.486
,97.126,98.006
,97.392,98.4
,97.263,99.022
,96.827,99.016
,97.311,98.89
,97.563,99.052
,97.488,98.84
,97.535,98.28
,98.154,98.763
,98.492,98.803
,98.943,99.092
,99.52,99.421
,99.72,99.914
,100.073,100.2
,100.672,100.438
,101.377,100.905
,101.91,101.393
,102.252,101.785
,102.64,102.075
,102.875,102.623
,103.419,103.088
,103.67,103.175
,104.073,102.968
,104.406,103.568
,103.949,103.467
,104.801,104.18
,105.319,104.855
,106.547,105.514
,108.174,106.528
,109.673,108.074
,111.487,110.457
,113.574,112.891
,115.568,115.431
,116.902,117.389
,118.098,118.176
,119.309,119.228
,120.044,119.087
2023Q3,120.912,119.611
