date;dY_prod;dY_inc;dY;dhours;dLP;dk;dLQ_BLS_interpolated;dLQ_Aaronson_Sullivan;dLQ;alpha;dtfp;dutil;dtfp_util;relativePrice;invShare;dtfp_I;dtfp_C;du_invest;du_consumption;dtfp_I_util;dtfp_C_util
1947:Q2;1.22;1.73;1.48;-0.51;1.98;5.16;0.53;;0.53;0.33;-0.22;1.15;-1.37;-4.5;0.19;-3.86;0.64;0.42;1.32;-4.28;-0.68
1947:Q3;-0.94;0.77;-0.08;3.08;-3.17;3.94;0.51;;0.51;0.33;-3.79;-5.42;1.62;5.98;0.19;1.06;-4.92;-9.28;-4.52;10.35;-0.4
1947:Q4;8.28;5.46;6.87;3.03;3.84;3.13;0.49;;0.49;0.33;3.47;5.17;-1.7;5.17;0.19;7.65;2.48;13.19;3.27;-5.54;-0.79
1948:Q1;7.17;12.8;9.99;-1.98;11.96;3.72;0.47;;0.47;0.33;9.78;-2.34;12.12;4.61;0.19;13.5;8.89;-6.29;-1.39;19.79;10.28
1948:Q2;8.24;11.24;9.74;0.18;9.56;4.38;0.34;;0.34;0.33;7.96;-0.6;8.56;-4.17;0.19;4.57;8.74;-7.82;1.07;12.4;7.67
1948:Q3;1.66;-0.6;0.53;3.63;-3.1;4.58;0.22;;0.22;0.33;-3.56;-4.86;1.31;-8.88;0.19;-10.75;-1.87;-0.38;-5.92;-10.36;4.05
1948:Q4;-0.27;1.44;0.58;-2.56;3.15;4.76;0.09;;0.09;0.32;0.71;-2.16;2.87;-4.85;0.19;-3.21;1.64;0.56;-2.81;-3.77;4.45
1949:Q1;-6.9;-9.67;-8.28;-5.65;-2.63;4.74;-0.04;;-0.04;0.32;-5.96;-4.1;-1.86;-2.37;0.19;-7.88;-5.51;-8.44;-3.09;0.56;-2.43
1949:Q2;-2;-1.85;-1.93;-3.61;1.69;3.32;0.25;;0.25;0.32;-0.72;-6.95;6.23;-2.85;0.2;-3.01;-0.15;-12.6;-5.55;9.6;5.39
1949:Q3;4.78;2.65;3.72;-6.62;10.34;2.4;0.53;;0.53;0.33;7.05;3.49;3.56;0.2;0.2;7.21;7.01;11.54;1.5;-4.33;5.5
1949:Q4;-4.2;-7.15;-5.67;-5.15;-0.52;2.29;0.81;;0.81;0.33;-3.52;-3.65;0.13;0.62;0.2;-3.02;-3.64;-13.49;-1.13;10.47;-2.51
1950:Q1;18.8;19.26;19.03;1.28;17.76;1.67;1.09;;1.09;0.34;16.9;8.77;8.13;-1.39;0.2;15.79;17.18;22.58;5.32;-6.79;11.86
1950:Q2;13.33;18.39;15.86;8.82;7.05;2.5;0.84;;0.84;0.34;8.63;9.17;-0.53;-2.75;0.2;6.44;9.19;21.41;6.04;-14.97;3.15
1950:Q3;16.47;16.36;16.41;10.17;6.24;3.26;0.59;;0.59;0.34;8.21;8.23;-0.02;2.61;0.23;10.22;7.62;10.25;7.63;-0.02;-0.02
1950:Q4;4.38;4.26;4.32;2.46;1.87;4.06;0.34;;0.34;0.34;1.09;0.37;0.73;-1.11;0.21;0.21;1.33;-3.53;1.39;3.75;-0.07
1951:Q1;3.89;0.03;1.96;4.13;-2.18;4.79;0.09;;0.09;0.34;-2.46;0.48;-2.94;-0.15;0.21;-2.58;-2.43;-2.51;1.26;-0.07;-3.69
1951:Q2;3.85;3.95;3.9;2.07;1.83;3.99;0.12;;0.12;0.34;1.1;2.93;-1.83;-0.22;0.19;0.92;1.14;1.39;3.28;-0.48;-2.13
1951:Q3;6.42;4.95;5.69;-4.69;10.37;4.32;0.14;;0.14;0.33;7.28;-3.72;11;0.46;0.18;7.66;7.2;-6;-3.2;13.66;10.4
1951:Q4;0.23;3.49;1.86;1.37;0.49;3.79;0.16;;0.16;0.33;-0.41;0.65;-1.06;0.87;0.18;0.3;-0.57;0.23;0.74;0.07;-1.31
1952:Q1;3.72;1.67;2.7;1.83;0.86;3.11;0.18;;0.18;0.32;0.33;5.28;-4.95;-3.18;0.18;-2.27;0.91;5.36;5.26;-7.63;-4.35
1952:Q2;-0.84;0.95;0.05;-4.13;4.19;3.2;0.35;;0.35;0.32;1.61;-6.12;7.73;3.86;0.19;4.75;0.89;-11.54;-4.87;16.29;5.76
1952:Q3;2.28;3.29;2.79;1.33;1.45;2.72;0.52;;0.52;0.31;0.66;3.86;-3.2;0.82;0.17;1.34;0.52;0.23;4.59;1.11;-4.07
1952:Q4;15.97;15.02;15.49;9.56;5.93;2.43;0.69;;0.69;0.31;7.68;7.55;0.14;7.51;0.18;13.82;6.31;20.9;4.54;-7.09;1.76
1953:Q1;8.42;7.97;8.19;2;6.19;3.12;0.85;;0.85;0.31;5.26;-3.85;9.1;-3.28;0.19;2.6;5.88;-3.89;-3.84;6.49;9.72
1953:Q2;2.78;2.31;2.55;-0.5;3.05;3.42;0.85;;0.85;0.31;1.25;-3.29;4.54;-0.62;0.19;0.75;1.37;-2.83;-3.39;3.58;4.76
1953:Q3;-3.71;-4.11;-3.91;-3.48;-0.43;3.37;0.86;;0.86;0.31;-3.12;-8.3;5.18;3.25;0.19;-0.49;-3.74;-9.86;-7.93;9.37;4.19
1953:Q4;-7.58;-10.14;-8.86;-6.6;-2.25;3.39;0.86;;0.86;0.31;-5.91;-8.08;2.17;0.83;0.19;-5.23;-6.06;-12.85;-6.97;7.62;0.9
1954:Q1;-2.5;1;-0.75;-2.56;1.81;2.85;0.87;;0.87;0.31;-0.44;-5.77;5.33;-3.28;0.18;-3.12;0.16;-7.21;-5.45;4.09;5.61
1954:Q2;-0.08;0.3;0.11;-5.48;5.59;2.44;0.66;;0.66;0.31;2.7;-0.41;3.1;4.28;0.19;6.18;1.89;-0.63;-0.36;6.81;2.25
1954:Q3;4.74;3.62;4.18;-1.52;5.7;2.12;0.45;;0.45;0.31;4.26;0.42;3.84;5.72;0.19;8.92;3.2;0.87;0.32;8.05;2.88
1954:Q4;8.54;9.26;8.9;2.8;6.1;2.33;0.24;;0.24;0.32;6.08;4.19;1.9;1.12;0.19;6.99;5.87;9.19;3.03;-2.2;2.84
1955:Q1;13.42;12.96;13.19;7.3;5.89;2.45;0.04;;0.04;0.33;7.46;9.04;-1.58;0.92;0.19;8.21;7.29;17.35;7.08;-9.15;0.21
1955:Q2;7.85;9.71;8.78;4.23;4.56;2.89;0.06;;0.06;0.33;4.96;3.65;1.32;-1.25;0.2;3.97;5.21;3.29;3.74;0.68;1.48
1955:Q3;5.46;5.39;5.43;6.02;-0.59;3.43;0.08;;0.08;0.33;0.22;-1.35;1.57;-2.37;0.21;-1.66;0.71;-2.36;-1.08;0.7;1.79
1955:Q4;1.84;2.67;2.25;4.44;-2.19;3.7;0.1;;0.1;0.33;-2.01;3.66;-5.67;-1.54;0.2;-3.24;-1.7;1.81;4.14;-5.05;-5.83
1956:Q1;-2.49;-0.11;-1.3;-0.98;-0.32;3.96;0.13;;0.13;0.32;-2.01;-4.06;2.05;0.06;0.2;-1.97;-2.02;-12.81;-1.9;10.85;-0.12
1956:Q2;3.42;4.41;3.92;1.08;2.83;3.61;0.22;;0.22;0.32;1.88;-4.62;6.5;0.37;0.2;2.18;1.81;-7.61;-3.88;9.79;5.68
1956:Q3;-1.71;-0.74;-1.22;-1.66;0.44;3.56;0.3;;0.3;0.32;-1.42;0.72;-2.14;-2.99;0.2;-3.82;-0.83;5.17;-0.38;-8.98;-0.44
1956:Q4;7.21;7.69;7.45;-1;8.45;3.53;0.39;;0.39;0.31;6.76;3.92;2.84;-3.91;0.2;3.63;7.54;9.45;2.53;-5.82;5.01
1957:Q1;2.44;0.48;1.46;-0.18;1.63;3.46;0.48;;0.48;0.32;0.16;-3.67;3.83;-0.44;0.2;-0.2;0.25;-6.48;-2.96;6.28;3.2
1957:Q2;-2.09;-1.46;-1.78;-2.17;0.4;3.38;0.48;;0.48;0.32;-1.68;-7.6;5.91;-0.9;0.2;-2.4;-1.5;-15.17;-5.7;12.77;4.19
1957:Q3;3.74;1;2.37;-0.35;2.71;3.3;0.48;;0.48;0.31;1.24;-3.13;4.37;2.19;0.2;2.99;0.8;-3.36;-3.07;6.35;3.87
1957:Q4;-5.25;-5.79;-5.52;-9.38;3.86;3.51;0.48;;0.48;0.31;-0.49;-9.33;8.84;-1.01;0.2;-1.3;-0.29;-11.27;-8.85;9.98;8.56
1958:Q1;-13.64;-11.72;-12.68;-10.71;-1.97;2.94;0.48;;0.48;0.31;-6.53;-7.84;1.31;-1.96;0.19;-8.11;-6.15;-16.39;-5.81;8.28;-0.34
1958:Q2;1.87;0.03;0.95;-3.78;4.73;2.22;0.34;;0.34;0.31;2.64;1.75;0.89;1.16;0.19;3.58;2.42;5.6;0.87;-2.02;1.56
1958:Q3;10.21;10.25;10.23;2.99;7.24;1.89;0.2;;0.2;0.31;7.45;7.54;-0.09;0.93;0.18;8.21;7.28;9.12;7.18;-0.92;0.09
1958:Q4;10.83;10.76;10.8;6.13;4.66;2.04;0.06;;0.06;0.32;5.92;5;0.92;0.77;0.18;6.55;5.78;8.56;4.2;-2.01;1.58
1959:Q1;9.38;10.3;9.84;6.13;3.71;2.39;-0.09;;-0.09;0.32;4.98;9.03;-4.05;-4.37;0.19;1.44;5.81;15.83;7.42;-14.39;-1.61
1959:Q2;10.32;12.73;11.53;9.26;2.26;2.58;0.11;;0.11;0.33;4.37;4.3;0.07;-1.26;0.19;3.35;4.61;5.02;4.13;-1.67;0.48
1959:Q3;-0.76;-5.19;-2.97;-3.69;0.71;2.95;0.3;;0.3;0.33;-1.65;-5.27;3.61;0.99;0.2;-0.86;-1.85;-7.7;-4.67;6.84;2.82
