Date,,Durable Emp,Durable Hours,Construction Emp,Construction Hours,Nondurable goods Emp,Nondurable Hours,Services Emp,Services Hours
1947,M01,6961,40.7,1882,39.1,5484,40.3,,
1947,M02,7018,40.5,1934,38.9,5469,40.2,,
1947,M03,7038,40.6,1923,40.0,5480,40.0,,
1947,M04,7065,40.8,1926,38.7,5466,40.2,,
1947,M05,6991,40.8,1915,38.5,5458,40.0,,
1947,M06,6968,40.8,1932,38.2,5421,39.9,,
1947,M07,6800,40.8,1928,38.4,5465,39.9,,
1947,M08,6849,40.1,1940,38.3,5521,39.8,,
1947,M09,6874,40.8,1952,38.5,5556,40.1,,
1947,M10,6906,40.7,1960,38.4,5558,40.3,,
1947,M11,6926,40.9,1957,38.6,5568,40.1,,
1947,M12,6957,41.2,2001,38.8,5569,40.3,,
1948,M01,6951,40.9,2083,38.7,5569,40.0,,
1948,M02,6883,40.6,2034,38.3,5554,39.7,,
1948,M03,6923,40.8,2063,39.0,5566,39.8,,
1948,M04,6854,40.3,2090,38.5,5450,39.8,,
1948,M05,6840,40.4,2111,38.1,5504,40.0,,
1948,M06,6798,40.7,2126,38.7,5604,39.8,,
1948,M07,6853,40.6,2125,38.6,5564,39.7,,
1948,M08,6860,40.7,2115,38.4,5537,39.5,,
1948,M09,6864,40.5,2111,39.9,5586,39.5,,
1948,M10,6860,40.5,2113,38.1,5504,39.0,,
1948,M11,6835,40.5,2128,38.7,5467,39.0,,
1948,M12,6726,40.3,2163,39.1,5401,38.8,,
1949,M01,6572,40.1,2166,38.7,5333,38.5,,
1949,M02,6482,40.0,2159,38.7,5310,38.7,,
1949,M03,6358,39.5,2138,38.6,5296,38.6,,
1949,M04,6256,39.3,2113,38.3,5261,38.3,,
1949,M05,6106,39.4,2099,38.7,5246,38.4,,
1949,M06,6040,39.4,2059,38.2,5226,38.5,,
1949,M07,5994,39.6,2064,38.2,5174,38.7,,
1949,M08,6011,39.4,2068,38.1,5240,38.9,,
1949,M09,6036,39.7,2084,37.4,5248,39.1,,
1949,M10,5636,39.7,2079,37.8,5304,39.4,,
1949,M11,5710,39.1,2089,38.5,5254,39.1,,
1949,M12,5925,39.8,2073,37.1,5248,39.0,,
1950,M01,6004,40.0,2091,36.7,5254,39.2,,
1950,M02,5997,40.2,2105,35.9,5265,39.2,,
1950,M03,6065,40.2,2111,36.8,5297,39.2,,
1950,M04,6220,41.1,2154,37.8,5308,39.3,,
1950,M05,6515,41.2,2198,37.8,5340,39.3,,
1950,M06,6633,41.5,2250,38.0,5346,39.5,,
1950,M07,6736,41.8,2292,37.8,5371,39.8,,
1950,M08,6997,42.0,2325,38.2,5479,40.4,,
1950,M09,7026,41.7,2345,37.5,5493,39.7,,
1950,M10,7160,41.9,2373,38.2,5499,40.0,,
1950,M11,7192,41.7,2392,39.6,5490,40.1,,
1950,M12,7214,41.7,2368,38.0,5496,39.9,,
1951,M01,7280,41.6,2436,38.6,5536,40.1,,
