,Durable Emp,Construction Emp,Nondurable goods Emp,Services Emp,Durable Hours,Construction Hours,Nondurable Hours,Services Hours,Durable TH,Construction TH,Nondurable TH,Services TH
1/1/1947,6961,1882,5484,,40.7,39.1,40.3,,283312.7,73586.2,221005.2,0
2/1/1947,7018,1934,5469,,40.5,38.9,40.2,,284229,75232.6,219853.8,0
3/1/1947,7038,1923,5480,,40.6,40,40,,285742.8,76920,219200,0
4/1/1947,7065,1926,5466,,40.8,38.7,40.2,,288252,74536.2,219733.2,0
5/1/1947,6991,1915,5458,,40.8,38.5,40,,285232.8,73727.5,218320,0
6/1/1947,6968,1932,5421,,40.8,38.2,39.9,,284294.4,73802.4,216297.9,0
7/1/1947,6800,1928,5465,,40.8,38.4,39.9,,277440,74035.2,218053.5,0
8/1/1947,6849,1940,5521,,40.1,38.3,39.8,,274644.9,74302,219735.8,0
9/1/1947,6874,1952,5556,,40.8,38.5,40.1,,280459.2,75152,222795.6,0
10/1/1947,6906,1960,5558,,40.7,38.4,40.3,,281074.2,75264,223987.4,0
11/1/1947,6926,1957,5568,,40.9,38.6,40.1,,283273.4,75540.2,223276.8,0
12/1/1947,6957,2001,5569,,41.2,38.8,40.3,,286628.4,77638.8,224430.7,0
1/1/1948,6951,2083,5569,,40.9,38.7,40,,284295.9,80612.1,222760,0
2/1/1948,6883,2034,5554,,40.6,38.3,39.7,,279449.8,77902.2,220493.8,0
3/1/1948,6923,2063,5566,,40.8,39,39.8,,282458.4,80457,221526.8,0
4/1/1948,6854,2090,5450,,40.3,38.5,39.8,,276216.2,80465,216910,0
5/1/1948,6840,2111,5504,,40.4,38.1,40,,276336,80429.1,220160,0
6/1/1948,6798,2126,5604,,40.7,38.7,39.8,,276678.6,82276.2,223039.2,0
7/1/1948,6853,2125,5564,,40.6,38.6,39.7,,278231.8,82025,220890.8,0
8/1/1948,6860,2115,5537,,40.7,38.4,39.5,,279202,81216,218711.5,0
9/1/1948,6864,2111,5586,,40.5,39.9,39.5,,277992,84228.9,220647,0
10/1/1948,6860,2113,5504,,40.5,38.1,39,,277830,80505.3,214656,0
11/1/1948,6835,2128,5467,,40.5,38.7,39,,276817.5,82353.6,213213,0
12/1/1948,6726,2163,5401,,40.3,39.1,38.8,,271057.8,84573.3,209558.8,0
1/1/1949,6572,2166,5333,,40.1,38.7,38.5,,263537.2,83824.2,205320.5,0
2/1/1949,6482,2159,5310,,40,38.7,38.7,,259280,83553.3,205497,0
3/1/1949,6358,2138,5296,,39.5,38.6,38.6,,251141,82526.8,204425.6,0
4/1/1949,6256,2113,5261,,39.3,38.3,38.3,,245860.8,80927.9,201496.3,0
5/1/1949,6106,2099,5246,,39.4,38.7,38.4,,240576.4,81231.3,201446.4,0
6/1/1949,6040,2059,5226,,39.4,38.2,38.5,,237976,78653.8,201201,0
7/1/1949,5994,2064,5174,,39.6,38.2,38.7,,237362.4,78844.8,200233.8,0
8/1/1949,6011,2068,5240,,39.4,38.1,38.9,,236833.4,78790.8,203836,0
9/1/1949,6036,2084,5248,,39.7,37.4,39.1,,239629.2,77941.6,205196.8,0
10/1/1949,5636,2079,5304,,39.7,37.8,39.4,,223749.2,78586.2,208977.6,0
11/1/1949,5710,2089,5254,,39.1,38.5,39.1,,223261,80426.5,205431.4,0
12/1/1949,5925,2073,5248,,39.8,37.1,39,,235815,76908.3,204672,0
1/1/1950,6004,2091,5254,,40,36.7,39.2,,240160,76739.7,205956.8,0
2/1/1950,5997,2105,5265,,40.2,35.9,39.2,,241079.4,75569.5,206388,0
3/1/1950,6065,2111,5297,,40.2,36.8,39.2,,243813,77684.8,207642.4,0
4/1/1950,6220,2154,5308,,41.1,37.8,39.3,,255642,81421.2,208604.4,0
5/1/1950,6515,2198,5340,,41.2,37.8,39.3,,268418,83084.4,209862,0
6/1/1950,6633,2250,5346,,41.5,38,39.5,,275269.5,85500,211167,0
7/1/1950,6736,2292,5371,,41.8,37.8,39.8,,281564.8,86637.6,213765.8,0
8/1/1950,6997,2325,5479,,42,38.2,40.4,,293874,88815,221351.6,0
9/1/1950,7026,2345,5493,,41.7,37.5,39.7,,292984.2,87937.5,218072.1,0
10/1/1950,7160,2373,5499,,41.9,38.2,40,,300004,90648.6,219960,0
11/1/1950,7192,2392,5490,,41.7,39.6,40.1,,299906.4,94723.2,220149,0
12/1/1950,7214,2368,5496,,41.7,38,39.9,,300823.8,89984,219290.4,0
1/1/1951,7280,2436,5536,,41.6,38.6,40.1,,302848,94029.6,221993.6,0
2/1/1951,7367,2449,5562,,41.6,37.3,39.9,,306467.2,91347.7,221923.8,0
3/1/1951,7405,2490,5531,,41.8,37.9,40,,309529,94371,221240,0
4/1/1951,7436,2514,5524,,41.9,38.4,39.9,,311568.4,96537.6,220407.6,0
5/1/1951,7435,2524,5506,,42,38.8,39.7,,312270,97931.2,218588.2,0
6/1/1951,7438,2506,5496,,41.9,38.2,39.5,,311652.2,95729.2,217092,0
7/1/1951,7395,2508,5453,,41.6,38.8,39.3,,307632,97310.4,214302.9,0
8/1/1951,7377,2504,5395,,41.4,38.7,39,,305407.8,96904.8,210405,0
9/1/1951,7318,2490,5341,,41.5,38.7,39,,303697,96363,208299,0
10/1/1951,7300,2511,5315,,41.4,39,38.7,,302220,97929,205690.5,0
11/1/1951,7319,2474,5309,,41.4,38.5,39,,303006.6,95249,207051,0
12/1/1951,7332,2504,5335,,41.7,38.8,39.3,,305744.4,97155.2,209665.5,0
1/1/1952,7341,2502,5334,,41.9,39.5,39.3,,307587.9,98829,209626.2,0
2/1/1952,7360,2559,5329,,41.8,39.8,39.4,,307648,101848.2,209962.6,0
3/1/1952,7363,2498,5332,,41.6,38.8,39.3,,306300.8,96922.4,209547.6,0
4/1/1952,7386,2489,5327,,41.1,39.3,39.2,,303564.6,97817.7,208818.4,0
5/1/1952,7367,2488,5309,,41.3,39,39.3,,304257.1,97032,208643.7,0
6/1/1952,7024,2520,5329,,41.4,39.4,39.6,,290793.6,99288,211028.4,0
7/1/1952,6875,2513,5358,,40.9,39.1,39.4,,281187.5,98258.3,211105.2,0
8/1/1952,7386,2518,5378,,41.4,39,39.8,,305780.4,98202,214044.4,0
9/1/1952,7598,2520,5409,,41.9,39.6,39.9,,318356.2,99792,215819.1,0
10/1/1952,7688,2490,5434,,42,39.4,40,,322896,98106,217360,0
11/1/1952,7796,2502,5466,,42,39.2,40,,327432,98078.4,218640,0
12/1/1952,7902,2510,5473,,42.1,39.6,40,,332674.2,99396,218920,0
1/1/1953,7971,2518,5476,,42,38.8,39.8,,334782,97698.4,217944.8,0
2/1/1953,8048,2542,5481,,41.9,39,39.8,,337211.2,99138,218143.8,0
3/1/1953,8132,2517,5488,,42,38.8,40,,341544,97659.6,219520,0
4/1/1953,8135,2497,5494,,41.7,38.4,39.8,,339229.5,95884.8,218661.2,0
5/1/1953,8134,2473,5511,,41.8,38.3,39.9,,340001.2,94715.9,219888.9,0
6/1/1953,8135,2458,5501,,41.7,38.5,39.7,,339229.5,94633,218389.7,0
7/1/1953,8157,2451,5496,,41.5,37.9,39.6,,338515.5,92892.9,217641.6,0
8/1/1953,8095,2450,5469,,41.5,38.3,39.4,,335942.5,93835,215478.6,0
9/1/1953,7989,2477,5430,,41,37.9,38.8,,327549,93878.3,210684,0
10/1/1953,7853,2499,5391,,40.9,38.4,39,,321187.7,95961.6,210249,0
11/1/1953,7644,2498,5346,,40.7,38.9,38.9,,311110.8,97172.2,207959.4,0
12/1/1953,7543,2501,5304,,40.4,37.9,38.8,,304737.2,94787.9,205795.2,0
1/1/1954,7443,2441,5263,,40.2,35.9,38.6,,299208.6,87631.9,203151.8,0
2/1/1954,7337,2492,5256,,40.3,38.2,38.8,,295681.1,95194.4,203932.8,0
3/1/1954,7241,2491,5252,,40.1,38.7,38.8,,290364.1,96401.7,203777.6,0
4/1/1954,7138,2487,5223,,40.2,38.3,38.9,,286947.6,95252.1,203174.7,0
5/1/1954,7075,2461,5207,,40.3,37.8,38.9,,285122.5,93025.8,202552.3,0
6/1/1954,7023,2452,5197,,40.3,37.9,38.9,,283026.9,92930.8,202163.3,0
7/1/1954,6940,2445,5181,,40.3,37.9,39,,279682,92665.5,202059,0
8/1/1954,6909,2443,5180,,40.4,37.5,39,,279123.6,91612.5,202020,0
9/1/1954,6912,2436,5192,,40.5,37.7,39.1,,279936,91837.2,203007.2,0
10/1/1954,6946,2449,5196,,40.2,37.1,39,,279229.2,90857.9,202644,0
11/1/1954,6996,2489,5210,,40.8,38.3,39.2,,285436.8,95328.7,204232,0
12/1/1954,7030,2497,5224,,40.7,37.6,39.3,,286121,93887.2,205303.2,0
1/1/1955,7072,2528,5237,,41.2,37.1,39.4,,291366.4,93788.8,206337.8,0
2/1/1955,7157,2525,5251,,41.3,36.8,39.6,,295584.1,92920,207939.6,0
3/1/1955,7247,2589,5277,,41.5,38.2,39.7,,300750.5,98899.8,209496.9,0
4/1/1955,7327,2622,5299,,41.6,37.1,39.8,,304803.2,97276.2,210900.2,0
5/1/1955,7420,2654,5311,,42,37.8,39.9,,311640,100321.2,211908.9,0
6/1/1955,7479,2660,5331,,41.5,37.4,39.9,,310378.5,99484,212706.9,0
7/1/1955,7502,2679,5316,,41.4,37.9,39.7,,310582.8,101534.1,211045.2,0
8/1/1955,7530,2671,5336,,41.4,37.2,39.7,,311742,99361.2,211839.2,0
9/1/1955,7520,2666,5310,,41.4,38,39.6,,311328,101308,210276,0
10/1/1955,7545,2646,5351,,41.6,37.1,40.1,,313872,98166.6,214575.1,0
11/1/1955,7587,2638,5380,,41.8,37.2,40,,317136.6,98133.6,215200,0
12/1/1955,7628,2632,5381,,41.6,38,40,,317324.8,100016,215240,0
1/1/1956,7630,2677,5381,,41.4,37.4,40,,315882,100119.8,215240,0
2/1/1956,7597,2712,5389,,41.3,37.7,39.8,,313756.1,102242.4,214482.2,0
3/1/1956,7532,2730,5373,,41.2,36.8,39.7,,310318.4,100464,213308.1,0
